鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,latitude,longitude,郵遞區號6碼,土地位置建物門牌,distance(警察局)(km),附近1km是否有警察局,distance(捷運站)(km),附近1km是否有捷運站,distance(超商&超市)(km),附近1km是否有超商&超市,distance(寺廟)(km),附近1km是否有寺廟,distance(臺北市殯儀館)(km),附近1km是否有殯儀館,distance(醫院)(km),附近1km是否有醫院,路名
中山區,房地(土地+建物)+車位,44.08,土地1建物1車位2,十二層，十三層,十三層,1,住家用,鋼筋混凝土造,439.4500000000001,3,3,3,有,有,93000000,坡道平面,92.26,5000000,含增建或未登記建物。,190.72,23.3,17.69,1,台北市,104,2019,12,28,132.93362500000003,699597.2614152362,2014,5,29,5,1,25.055605,121.52558,104087.0,臺北市中山區長春路９７號１２樓,0.1689483585118831,1,0.5605499252940378,1,0.0984488384047577,1,0.4739114451007118,1,1.1447200565275295,0,0.8867142401021902,1,長春路
中山區,房地(土地+建物),32.86,土地1建物2車位0,一層,六層,3,見使用執照,鋼筋混凝土造,184.8,2,2,1,有,無,25000000,,0.0,0,,178.08,0.0,6.72,1,台北市,104,2020,1,17,55.902,447211.1910128439,1979,1,22,41,0,25.055769,121.525875,104012.0,臺北市中山區新生北路二段６０巷５５號,0.1958338011566354,1,0.5799671143546467,1,0.0994639113210441,1,0.4902785818224669,1,1.1110840003208833,0,0.853217239683833,1,新生北路二段
中山區,房地(土地+建物),7.35,土地2建物1車位0,二層,十一層,1,住家用,鋼筋混凝土造,62.89,0,0,0,無,有,15800000,,0.0,0,含增建或未登記建物。；,34.18,4.71,3.54,1,台北市,104,2020,1,16,19.024225,830520.034324657,2008,12,18,12,0,25.05355,121.533431,104074.0,臺北市中山區四平街５６號二樓之３,0.2939348173906952,1,1.0619903830878787,0,0.1149531894991475,1,0.1340513095755107,1,1.0575303284536453,0,0.3686758708601452,1,四平街
中山區,房地(土地+建物),18.76,土地2建物1車位0,六層，七層,七層,3,住家用,鋼筋混凝土造,144.92999999999998,3,2,2,有,有,28000000,,0.0,0,,143.01,0.0,0.0,1,台北市,104,2020,1,3,43.84132499999999,638666.8286143269,1986,2,20,34,0,25.083005,121.548798,104041.0,臺北市中山區北安路６２１巷１號六樓,0.6074069470832166,1,0.707969438089586,1,0.1429818732722217,1,1.6531224772115614,0,2.697897729194352,0,2.694405800120591,0,北安路
中山區,房地(土地+建物),29.57,土地1建物1車位0,三層,五層,2,住家用,鋼筋混凝土造,100.72,3,2,2,有,無,13500000,,0.0,0,,90.41,0.0,10.31,0,台北市,104,2020,1,13,30.4678,443090.73841892096,1985,9,12,35,0,25.0680266,121.5348245,104067.0,臺北市中山區民族東路２５６號３樓,0.1426465971783503,1,0.4222362995926169,1,0.2175559000595281,1,0.2579374649071179,1,0.5648501260160601,1,0.796919362027943,1,民族東路
中山區,房地(土地+建物),22.9,土地1建物1車位0,四層,五層,2,住家用,鋼筋混凝土造,111.74,3,2,2,有,無,19680000,,0.0,0,含增建或未登記建物。；,96.74,0.0,11.95,0,台北市,104,2019,12,30,33.80135,582225.2661506124,1986,11,3,33,0,25.083539,121.548972,104042.0,臺北市中山區北安路633號4樓,0.6593528610477136,1,0.6769058497705185,1,0.1006121706396143,1,1.622824382198645,0,2.756431967764769,0,2.6843284617317145,0,北安路
中山區,房地(土地+建物)+車位,27.56,土地1建物1車位1,四層,五層,3,住家用,鋼筋混凝土造,139.92000000000002,3,2,2,有,有,26510000,升降平面,31.68,0,,62.9,8.43,3.03,0,台北市,104,2019,12,23,42.3258,626331.9299339883,2019,3,7,0,1,25.047226,121.529293,104006.0,臺北市中山區長安東路一段５６巷７弄２０之１號四樓,0.4494699051399854,1,0.6526281826636244,1,0.1858485889555572,1,0.3365797442394324,1,1.8061058675585329,0,0.5749388314147444,1,長安東路一段
中山區,房地(土地+建物),20.54,土地1建物1車位0,五層,五層,2,住家用,鋼筋混凝土造,108.67,3,2,2,有,無,15380000,,0.0,0,含增建或未登記建物。；,80.52,0.0,19.85,0,台北市,104,2020,1,9,32.872675,467865.788226848,1979,8,15,41,0,25.064135,121.533942,104068.0,臺北市中山區農安街166巷5號5樓,0.4313921835527474,1,0.0577105067912722,1,0.0342082654641302,1,0.0676637060221965,1,0.1276079052360005,1,0.3805246185828627,1,農安街
中山區,房地(土地+建物),7.13,土地1建物1車位0,八層,八層,3,住家用,鋼筋混凝土造,36.95,1,0,1,有,無,11850000,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；本案為預售雨遮不計價,20.4,0.49,3.44,1,台北市,104,2017,11,4,11.177375,1060177.3672262048,2019,12,24,-2,0,25.055769,121.525875,104016.0,臺北市中山區中山北路二段４２巷１８號八樓之３,0.1958338011566354,1,0.5799671143546467,1,0.0994639113210441,1,0.4902785818224669,1,1.1110840003208833,0,0.853217239683833,1,中山北路二段
中山區,房地(土地+建物),8.23,土地1建物1車位0,二層,八層,3,住家用,鋼筋混凝土造,42.75,1,1,1,有,無,13700000,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；本案為預售雨遮不計價,22.75,3.55,1.85,1,台北市,104,2017,11,7,12.931875,1059397.805809289,2019,12,24,-2,0,25.054589,121.521752,104016.0,臺北市中山區中山北路二段４２巷１８號二樓,0.2568777700979338,1,0.2709134332796918,1,0.034004247595643,1,0.159289627324125,1,1.5060355594132218,0,1.2489303373387208,0,中山北路二段
