鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,PK_key,latitude,longitude,郵遞區號6碼,土地位置建物門牌
中山區,房地(土地+建物),4.98,土地1建物1車位0,五層,十三層,1,住家用,鋼筋混凝土造,59.3,2,2,1,有,有,11800000,,0.0,0,含增建或未登記建物。；,35.02,3.95,0.0,1,台北市,104,2020,2,25,17.93825,657812.2169107912,2008,12,29,12,0,RPPNMLLMLHPFFCA57CA,25.059644,121.52633,,臺北市中山區新生北路二段68巷9號5樓之7
中山區,房地(土地+建物),3.03,土地2建物1車位0,十層,十二層,5,住家用,鋼筋混凝土造,36.56,1,1,1,有,有,5000000,,0.0,0,含增建或未登記建物。；,28.26,0.0,0.0,1,台北市,104,2020,2,27,11.0594,452104.0924462449,1982,7,7,38,0,RPQNMLKMLHPFFCA57CA,25.0545986,121.5255575,,臺北市中山區林森北路263號10樓之11
中山區,房地(土地+建物),17.27,土地1建物1車位0,九層,十九層,1,住家用,鋼筋混凝土造,160.91,3,2,2,有,有,33600000,,0.0,0,含增建或未登記建物。；,124.21,0.0,9.7,1,台北市,104,2020,2,12,48.675275,690288.8581523165,1986,11,25,34,0,RPWSMLKMLHPFFCA68CA,25.062094,121.543125,,臺北市中山區民權東路三段72號9樓之2
中山區,房地(土地+建物)+車位,12.79,土地1建物1車位1,七層,八層,3,住家用,鋼筋混凝土造,77.74,1,1,1,有,無,23460000,升降機械,11.66,1500000,1.本案為預售雨遮不計價,36.88,3.45,3.18,1,台北市,104,2018,1,4,23.51635,997603.794806592,2019,12,24,-1,1,RPTPMLKMLHPFFCA08CA,25.061093,121.52601,,臺北市中山區中山北路二段４２巷１８號七樓之１
中山區,房地(土地+建物)+車位,9.5,土地1建物1車位1,七層,八層,3,住家用,鋼筋混凝土造,60.73,1,1,1,有,無,17750000,升降機械,11.66,1800000,1.本案為預售雨遮不計價,27.02,1.49,3.8,1,台北市,104,2018,1,4,18.370825,966205.9270609784,2019,12,24,-1,1,SPTPMLKMLHPFFCA18CA,25.054589,121.521752,,臺北市中山區中山北路二段４２巷１８號七樓之２
中山區,房地(土地+建物),7.13,土地1建物1車位0,七層,八層,3,住家用,鋼筋混凝土造,36.95,1,0,1,有,無,11790000,,0.0,0,1.本案為預售雨遮不計價,20.4,0.49,3.44,1,台北市,104,2018,1,4,11.177375,1054809.380556705,2019,12,24,-1,0,TPTPMLKMLHPFFCA28CA,25.054589,121.521752,,臺北市中山區中山北路二段４２巷１８號七樓之３
中山區,房地(土地+建物),40.25,土地2建物1車位0,二層,四層,2,住家用,加強磚造,97.13,3,1,2,有,無,16800000,,0.0,0,親友、員工或其他特殊關係間之交易。；,97.13,0.0,0.0,0,台北市,104,2019,12,4,29.381825,571782.0455332506,1969,1,18,50,0,RPPQMLQKMHPFFCA28CA,25.060356,121.542451,,臺北市中山區錦州街４２７號二樓
中山區,房地(土地+建物)+車位,40.31,土地1建物1車位1,五層,十三層,1,住家用,鋼筋混凝土造,228.73,3,2,2,有,有,45380000,坡道平面,41.36,2500000,,117.34,3.04,11.02,1,台北市,104,2020,2,21,69.19082499999999,655867.3061059759,2007,8,10,13,1,RPROMLMLMHPFFCA97CA,25.048923,121.52611,,臺北市中山區長安東路一段５１號五樓之２
中山區,房地(土地+建物)+車位,11.14,土地3建物1車位1,三層,十三層,1,見其他登記事項,鋼筋混凝土造,125.18,2,2,2,有,有,29800000,塔式車位,0.0,0,含增建或未登記建物。；,57.33,8.2,4.32,1,台北市,104,2020,3,2,37.86695,786965.9425963801,2018,12,19,2,1,RPUOMLLJMHPFFCA97CA,25.048276,121.536223,,臺北市中山區長安東路二段118之3號3樓
中山區,房地(土地+建物),3.62,土地1建物1車位0,九層,十一層,1,住家用,鋼筋混凝土造,67.78999999999999,2,1,1,有,有,8500000,,0.0,0,,46.96,0.0,6.2,1,台北市,104,2020,3,3,20.506475,414503.2239816936,1976,9,9,44,0,RPSSMLRJMHPFFCA78CA,25.0597912,121.5250618,,臺北市中山區林森北路４１６巷１號九樓
